orderNo,startTime,endTime,speaker,contentType,transcript,disfluency1,disfluency2,translation
1,307.27847,315.818947,2,speech,"రెండోది ఏమిటంటే అదీ cinema తీసేటప్పుడూ [BREATH] ఆ last line లో ఒక అక్షరం తో త problem ఉన్నా ఆ shooting ఆపెస్తారు అక్కడ అంటే ఇది correct కాదు అని",0000011000000100100000000,NULL,"The second thing is that when shooting cinema, even if there is a problem with one letter in the last line, the shooting is stopped, which means that it is not correct."
2,315.90404,316.476998,1,overlap,NULL,NULL,NULL,NULL
3,316.476998,316.993227,2,speech,"చెయ్ అడుగుతుంది.",NULL,NULL,"Asks hand"
4,316.993227,317.370472,1,overlap,NULL,NULL,NULL,NULL
5,317.370472,322.563966,2,speech,"ఒక product బయటకెళ్లినప్పుడు [BREATH] so ninety nine percent ఊ ఉపన్నకి తప్ప ఎవడికి తెలీదు",0001100010000,NULL,"When a product goes out, ninety nine percent no one knows except the customer"
6,322.725643,323.230526,1,overlap,NULL,NULL,NULL,NULL
7,323.230526,327.181667,2,speech,"ఎప్పుడన్నా విశ్లేషణ ఇట్లా ఈత్ సందర్భం వచ్చినప్పుడు ఆ పాటలో ఇంతుందా depthఊ అ dev",000100000111,NULL,"Whenever the analysis comes to this occasion, there is so much depth in that song."
8,327.181667,327.8539,1,overlap,NULL,NULL,NULL,NULL
9,327.941829,356.689,2,speech,"ఇప్పుడూ మొన్నా ఆ మా మ్చ్చ ఒక పాట వింటున్నాను casual గా తీరగేస్తున్నప్పుడు ఏదైనా పాత పాటలు ఎల్తాయికదా suddenగా [BREATH] మ్చ్చ [BREATH] మ్చ్చ ఎడమ చేతను Shivaని విల్లును ఎత్తినా శ్రీ Ramaడూ ఎత్తగలడా  Sita జడను తాళి కట్టే వేళలో ఈ పాట first timeఊ మ్చ్ ఆ మన ఆ Veturi గారు రాస్తున్నారు",00111000000000001111000000000000000011101000,NULL,"Recently I was listening to a song casually while passing by any old songs, suddenly Lord Sri Rama can lift Shiva's bow with his left hand,if he can lift Sita's braid while tieing the knot, this song is written by our Mr. Veturi for the first time"
10,356.689,357.015189,1,speech,hmm,1,NULL,
11,357.227921,359.264474,2,speech,"అమ్మ్మ్ మన Godavari cinema కోసం",10000,NULL,"For our Godavari cinema"
12,359.468697,360.311115,1,overlap,NULL,NULL,NULL,NULL
13,360.311115,361.00604,2,speech,Tamakshaలో,NULL,NULL,"in Tamaksha"
14,361.19608,361.47405,1,speech,"Right right",01,NULL,Right
15,361.47405,364.616809,2,speech,"నేను Veturi గారి ఇంట్లో మేమందరం  [BREATH] Veturi గారంటే చాలా ఇష్టం",00000010000,NULL,"Me, at Mr. Veturi's house, we all love Mr. Veturi"
16,364.616809,365.257841,1,overlap,NULL,NULL,NULL,NULL
17,365.257841,366.188189,2,speech,"మన Shekhar Kamula",NULL,NULL,"Our Shekhar Kamula"
18,366.188189,366.698745,1,speech,కమ్మగా,NULL,NULL,delicious
19,367.007916,374.71732,2,speech,"ఆ అల మేము పొద్దున్న తొమ్మిది గంటలకు వెళ్తే almost ఊ సాయంత్రం దాకా అంటే మధ్యలో lunch time ఆయన భోజనం చేసి వచ్చాక మళ్ళా మేము కూర్చున్నాం అన్న~",10000000100000000000001,NULL,"If we go at 9 o'clock in the morning,almost till evening, that is,in the middle of lunch time,he done with his lunch and come back and again we sit"
20,374.71732,375.142784,1,overlap,NULL,NULL,NULL,NULL
21,375.857563,382.426724,2,speech,"నేనూ literal గా కాళ్ళమీద పడిపోయాను ఎందుకంటే మ్చ్ [BREATH] Shivaధనస్సు చాలా బలవైంది",00100011000,NULL,"I literally fell on the feet because Shiva bow was so strong"
22,382.455088,382.840842,1,speech,అవును,NULL,NULL,Yes
23,382.840842,384.70721,2,speech,"అసాధ్యం అందుకనే test పెట్టాడు దానికి",NULL,NULL,"Because it was impossible, he put a test to it"
24,384.70721,385.166711,1,overlap,NULL,NULL,NULL,NULL
25,385.229112,398.270996,2,speech,"Shivaడు [BREATH] ఎవర్ ధనస్సు [BREATH] అంత్తటివాడైన సరే Sita జడను ఎత్తడు అంటే ఇక్కడ ఏవిటంటే ఒక transformation of ఒక ఒక పెళ్లితో వచ్చే ఒక సిగ్గుంటుంది చూశారా ఆ సిగ్గూ వాళ్ళ అది ఎత్తాడు సరే ఇది ఎత్తగలడా అనేది",01111000000000001100000000000000,NULL,"Even though, if Lord Shiva lift's Sita's braid, so what is here is a transformation of a shy that comes with a marriage, you see that because of shy, he lifted that ok but he can lift this or not ?"
26,398.270996,398.704969,1,overlap,NULL,NULL,NULL,NULL
27,398.704969,399.981361,2,speech,"ఒక చిలిపి question అది.",NULL,NULL,"That is one naughty question."
28,399.984197,400.438025,1,speech,"Right right right",010,001,Right
29,400.438025,401.399573,2,speech,"So that is poetry.",NULL,NULL,"So that is poetry."
30,401.56129,401.773049,1,speech,Right,NULL,NULL,Right
31,401.773049,407.841095,2,speech,"అంటే అక్కడా మన thought freeze అయిపోతుందనమాట అరేయ్ ఎంత అందంగా చెప్పాడితను అది that is poetry.",00000010000000,NULL,"It means that our thought freeze ends there. How beautifully said, that is poetry."
32,407.841095,412.160971,1,speech,"అదీ ఎ ఎ poetry గురించి గానివ్వండి words magic గురించి గాని నాకు ఇంకో రెండు మూడు  questions ఉన్నాయి అవి కూడా అడుగుతాను",11100100010000000010,NULL,"About poetry and words magic, I have two or three more questions that I will ask"
33,412.160971,412.56658,2,speech,this,NULL,NULL,This
34,412.592108,435.031381,1,speech,"So guys thank you very much for supporting ఇలాంటి content అసలు పొతద పొద అనే దగ్గర నుంచి ప్రతీ video కీ నాకు guest లా  ఆ suggestions గాని messages గాని వస్తున్నాయి అంటే I’m I’m really what you call happy glad and all ఆ so ధీట్లో చిన్న update ఏంటంటే చాలా మందికి videos చూసే time scope లేని వాళ్లెవరైతే ఉన్నారో వాళ్ళ కోసం Spotify కూడా start చేసాం ఆ దాని link కింద పెడతాను కింద డిస్క్రిప్ అంటే రాసి రాసి మీకు channel పేరు రాసుంటది అక్కడ",0000000000000000000000010000001100000000000000000000000000000100000001100000,NULL,"So guys thank you very much for supporting. From this kind of content will go or not to giving guests suggestions or coming messages for every video, I'm really what you call happy glad and all. Small update is that every video key is the time scope of watching videos for many people. We have started Spotify for those who don't have it, I will put the link below, write in the description below, and you will get the channel name there"
35,435.301449,443.256197,1,speech,"ఆ so spotify లో మీకు almost అన్నీ almost కాదు అన్నీ episodes upload అయిపేనాయ్ even this this episode will be uploaded there in case YouTube లో చూడలేకపోతే అక్కడ చూసుకోవొచ్చు",100001111100001100000000000,NULL,"So on Spotify, almost all episodes are uploaded for you. Even this episode will be uploaded there, incase if you can't watch it on YouTube you can watch it there"
36,443.428058,457.167756,1,speech,"ఆ తరవాతా  ఎవరికైతే full podcast చూసే scope లేదో అలాంటి వాళ్ళ కోసమూ తెలుగు podcast RTVK clips అనే ఒక channel open చేసాం మొత్తం పేర్ అది మొత్తం పేరు అదన్నమాట so దాంట్లో మీరు you can actually ఆ go through hand-picked the topics అనమాట complete podcastలో",1000000000000000000001110000000001000010000,NULL,"Next, we have opened a channel called Telugu podcast RTVK clips for those who don‘t have the scope to watch full podcast. The whole name is that so you can actually go through hand-picked topics, in complete podcast"
37,457.167756,484.380276,1,speech,"example ఈ ten minutes ఆ ఆ ఈ topic ఈ topic గురించి చెప్పాలి పెట్ పెట్టాలి అనుకున్నవి ఆ దాన్ని మాత్రమే export చేసి పెట్టాం అక్కడ  so అలాంటి topics కూడా మీకూ  అక్కడ cover అయిపోతాయ్ and instagram లో నా personal account ఆ the Vamshi Kurapati తో పాటు we have another account, raw talks with VK, ధీంట్లో exclusives ఆ podcast updates మాత్రమే వస్తాయి ధీంట్లొ వేరే వేరే content ఎమ్ రాదూ ఆ guess the guest అని గానీ next guest యెవరనేది లేకపోతే ఆ teas teaser తో పాటు వేరే bits bytes ఏవైతే నాక్  నా page లో వేయలేమో అవి అందలో కూడా వేస్తన్నాము",0000111110010010000000000000000000000000000000000000001000001100010000000001100000000000000000,NULL,"For example, we have exported only what we thought should be said about this topic for ten minutes, so such topics will also be covered there and on Instagram, along with my personal account, the Vamsi Kurapati, we have another account, the raw talks with VK in this, only exclusive podcast updates will be posted. In this no other content will be posted, like guess the guest, who is the next guest, we are also adding teasers and other bits and bytes that we can't put on my page."
38,484.552138,512.058989,1,speech,"so these are the three handles that you can ఆ follow regularly and అవి చూస్తున్నా సరే ధీనైతే subscribe చేయడం మరచిపోకండి and ఇంకోటి ఆ this is off the topic of writing గురించి కాదు నేను ఒక eight years back అనుకుంట Srisailam గుడిలో ఆ అ Jai Prakash Reddy అని ఒక actor ఉండేవారు కదా ఆయన అక్కడ ఆ Shiva Malaloలో వచ్చారు Shivaడి మాలలో Srisailam  గుడిలోకి వస్తే గుమ్మగుడిపేంధి ఆ ఆ time లో కొంచెం కాళీ ఉంది [COUGH] temple గుమ్మగుడిపేయి కొంచెమ్ ఆ అంటే first time actorని చూసేవాళ్ళు excite of",0000000001000000000000100000000000000000110000000000100000000101100010100010000011,NULL,"So these are the three handles that you can follow regularly and even though you are watching them, don't forget to subscribe this and another one, this is not about the topic of writing, it's off the topic. I think so, eight year back there was an actor called Jai Prakash Reddy, he came to Srisailam temple in Lord Shiva's maala, there was a little space in temple at that time, people all got gathered as they were watching the actor for the first time."
39,512.058989,512.683886,2,overlap,NULL,NULL,NULL,NULL
40,513.007546,522.533601,2,speech,"Sir మీరూ ఆ cinema లోఎందుకు sir hero నిఅట్లాకొట్టిన్రుఅట్లాంటి questions ఆడుకుంటూమీరుఆడోళ్లనిఎందుకు sir హింసిస్తారుఅన్నిబూతులుఎందుకు sir అంటారుఓర్నాయాలధీఅనిఒకసారిఆ dialogue చెప్పండి sir ఇట్లాఇట్లాఅడిగేవాళ్ళన్నమాట",NULL,NULL,"Sir why did you beat the hero in that cinema like that questions, why you are playing and do torture the women sir with bad words ‘orinayaaldhi’ tell that dialogue once sir, people used to ask like this"
41,522.877325,530.709314,1,speech,"so నేనుఅప్పుడునాకు mind లోఉండేదిఅన్నమాటఇంకాఅంటేకొంతమంది negative shades చేసేవాళ్లదివాళ్ళ acceptance ఎట్లావాళ్ళని accept చేసేవిధానంఏదైతేఉంటుందో don't mind me telling this అంటే",NULL,NULL,"So for me, I had in my mind that is some people who do negative shades, what is their acceptance, what is the way of acceptance, don't mind me telling this means"
42,530.709314,531.753174,2,overlap,NULL,NULL,NULL,NULL
43,531.753174,532.25607,1,speech,"కొత్త characters లో",NULL,NULL,"In new characters"
44,532.25607,537.817452,2,speech,"నేనూ అహా అట్ Vemuri Gaggaiah గారని ఒక actor ఉండేవారు",011001000,NULL,"Me, There used to be an actor called Vemuri Gaggaiya"
45,537.868507,538.135131,1,speech,hmm,1,NULL,
46,538.135131,538.702416,2,speech,"చాలా పాత",NULL,NULL,"Very old"
47,538.798855,539.2073,1,speech,hmm,1,NULL,
48,539.547671,546.756884,1,speech,"అతను నవ్వుతే theatre దద్దరిల్లేది పిల్లలు భయపడి ఏడిచేసేవాళ్ళు అందుకని అప్పుడైనా పిల్లల్ని బెదిరించాలి అంటే ఏయ్ Vemuri Gaggayya గారిని పిలుస్తా",NULL,NULL,"If he laughs, the theatre shakes and the children cry because of fear. Therefore, if the children should be threatened anytime means, Hey we will call Mr.Vemuri Gaggaiya"
49,546.756884,547.492499,1,overlap,NULL,NULL,NULL,NULL
50,547.492499,548.204441,2,speech,fileఓ,NULL,NULL,File
51,548.334917,548.661106,2,speech,oh,1,NULL,
52,548.661106,551.219562,2,speech,"వాళ్ళు rhythm ఏమో అనుకోని అట్లా భయపడ్డాం",NULL,NULL,"We were so scared that we didn't know what their rhythm was."
53,551.219562,551.622334,1,speech,hmm,1,NULL,
54,551.755646,553.707107,1,speech,"అలాగే Jaya Prakash Reddy సందర్భం వచ్చింది కాబట్టి",NULL,NULL,"Also because of the occasion, Jaya Prakash Reddy came up"
55,553.707107,554.163771,1,overlap,NULL,NULL,NULL,NULL
56,554.163771,555.550783,1,speech,"అతడు గొప్పా శివ భక్తుడు",NULL,NULL,"He was a great devotee of Shiva"
57,555.590493,555.840099,2,speech,yeah,NULL,NULL,Yes
58,555.840099,563.132548,2,speech,"మంచి నటుడు రెండు ఏవిటంటే నాకు బాగా ఆప్తుడు చాలా విచిత్రమైన విషయటంటే ఆయనకీ first cinemaలో వేషం ఇప్పించింది నేనె as a writer",NULL,NULL,"He is a good actor and second one is that, I am very fond of him. The strange thing is that he was also given the role in the first cinema by me as a writer."
59,563.433209,563.974967,1,speech,అవునా,NULL,NULL,"Is it?"
60,564.037368,568.052433,2,speech,"నా కంచు కవచం లో అతను  Ev Amin అని ఉండేవాడు కదా African నే~",0000000000001,NULL,"In my bronze armor he was called EV Amin was there, African"
61,568.052433,568.482046,1,overlap,NULL,NULL,NULL,NULL
62,568.482046,568.881982,1,speech,"విన్నా yeah",NULL,NULL,"heard yes"
63,568.881982,574.832803,2,speech,"ఆ getup వేసీ అంటే నాటకం చూసాను అతనిది స్స్ చాల బావుందని మా Rajasekhar Reddy who was the director for me.",00000001000000000000,NULL,"I saw play with the getup, and he said it was very good, according to our Mr. Rajasekhar Reddy, who was the director for me."
64,574.908492,575.124854,1,speech,hmmL1L,
65,124854,583.441354,2,speech,"తనది నాటకం చూసాను నేను writer ని cinema కి ఆ వేషానికి ఆ నల్లగా ఇలా చిన్న చిన్న వెంట్రుకలు బాగుంటుంది అనీ ఆ అది నే~",000000001010011000101,NULL,"I saw his play, I was the writer to the cinema and said that black and short hair would be good for that dress up."
66,583.441354,584.07955,2,speech,"First movie ex~",001,NULL,"First movie"
67,584.136278,585.41267,1,speech,"First movie experienceఊ",NULL,NULL,"First movie experience"
68,585.424015,585.806933,2,speech,Yup,NULL,NULL,yes
69,585.806933,588.501537,2,speech,"Of course అది ఆయన చెపొడుకున్నాడో లేదో నాకు తెలియదు సందర్భం వచ్చింది కాబట్టి చెప్త్",000000000001,NULL,"Of course, I don't know if he said it or not, because the occasion had arisen"
70,588.501537,588.761783,1,overlap,NULL,NULL,NULL,NULL
71,588.761783,594.3389,1,speech,"But theatre man అటు నాటకం అంటే పిచ్చి అంటే అవసరం అయితే cinema కూడా వొదిలేసి నాటకాలు వే
 ఏసేవాడు చివరివరకు",00000000000000100,NULL,"But theatre man,other side drama means madness and if it is necessary,he left the cinema also and do the dramas till the end."
72,594.377982,594.810705,1,speech,"చూసా నేను అది",NULL,NULL,"I saw it"
73,594.810705,595.00405,1,overlap,NULL,NULL,NULL,NULL
74,595.00405,595.44148,2,speech,"Videosలో చూసా",NULL,NULL,"Seen in videos"
75,595.44148,598.426189,1,speech,"ఓ అట్లా నాకు చాలా నాకు చాలా ఆత్మీయత తో అట్~",101100001,NULL,"That's very dear to me"
76,598.426189,603.514736,1,speech,"అదే అప్పుడు అనిపించిందది uncle ఇప్పుడూ మీ పాత cinemaలలో చూస్తే కూడా నాకు పాత Tanikela Bharani గారంటే ఆ",0000000000000011,NULL,"That's what I felt like then, uncle, now even if I watch your old cinemas, for me an old Tanikela Bharani means"
77,603.517348,603.732175,2,overlap,NULL,NULL,NULL,NULL
78,603.732175,604.333636,2,speech,"దుర్మరద్గుడు దుష్ట~",01,NULL,Evil
79,604.333636,605.705517,1,overlap,NULL,NULL,NULL,NULL
80,605.705517,606.28862,1,speech,"that అవి అవి గుర్తు",0110,NULL,"That those remember"
81,606.28862,606.945377,2,overlap,NULL,NULL,NULL,NULL
82,606.945377,609.670615,2,speech,"ఇప్పుడూ చెప్తున్నా అది కూడా చాలా  అప్పుడు చాలా సార్లు చెప్పిన విషయవే",NULL,NULL,"Even now, it is something that was said many times before"
83,609.679822,610.244511,1,overlap,NULL,NULL,NULL,NULL
84,610.293614,612.128853,2,speech,"నేను Matru Devo Bhava అనీ",NULL,NULL,"I Matru Devo Bhava that"
85,612.128853,612.420404,1,speech,hmm,1,NULL,
86,612.420404,613.413861,2,speech,Madhavi,NULL,NULL,Madhavi
87,613.413861,613.901726,1,overlap,NULL,NULL,NULL,NULL
88,613.901726,616.826081,2,speech,"ఇద్దరు ఆ modify చేశాను అందలో  చాలా నీచ",01000000,NULL,"I have modified two and in that very bad"
89,616.826081,617.665662,1,overlap,NULL,NULL,NULL,NULL
1,618.122327,621.324651,2,speech,"Hmm Tippilaలో తల్లి ఆ అమ్మాయిని trap చెయ్యాలి అని చాలా",100000001,NULL,"The mother of the Tippilas said that the girl should be trapped"
2,621.324651,621.752951,1,speech,"అవును ఇస్తార్",NULL,NULL,"Yes they will"
3,621.752951,629.521921,2,speech,"అంటాడు అ త అంటే చెప్పడానికి కూడా ఆ ఇబ్బంది పడే అంత దరిద్రం అయినా వేషం అది",01100010000000,NULL,"It is such a poor disguise that it is difficult to even say what he means"
4,629.521921,629.845273,1,overlap,NULL,NULL,NULL,NULL
5,629.845273,630.483469,2,speech,"అంత నీచమైన వేషం",NULL,NULL,"Such a lousy outfit"
6,630.483469,630.940133,1,speech,hmm,1,NULL,
7,631.067772,635.95777,2,speech,"ఆ moodఊ మారిపోయిన తరువాత మ్చ్ ఊ వాడుంటే నాకు అడ్డం అని చెప్పి",00001100000,NULL,"He told me that after the mood has changed, if he is there, it will be an obstacle to me."
8,636.210212,636.956191,1,speech,hmm,1,NULL,
9,637.027102,643.44026,2,speech,"ఓ కత్తి తో కసా కసా మూడు సార్లు పొడిచేస్తాను [BREATH] ఆ కింద పడిపోతాడు top angle చాలా అద్భుతమైన shot తీసాడది",100000001100000000,NULL,"I cut it three times with a knife and he falls down. He took a very excellent shot in the top angle"
10,643.695538,644.311042,1,overlap,NULL,NULL,NULL,NULL
11,644.311042,645.445613,2,speech,"పోయినా ఆ dead body",NULL,NULL,"Maybe that dead body"
12,645.445613,645.757619,1,overlap,NULL,NULL,NULL,NULL
13,645.757619,647.981377,2,speech,"ఇలా కాలేసుకొని ఎళ్తుంటే నాకే ఆ cinema చూస్తుంటే",NULL,NULL,"If we were going to meet like this, I would be watching that movie"
14,647.981377,648.361458,1,speech,అబ్భా,NULL,NULL,wow
15,648.713175,652.601914,2,speech,"ఇంత దుర్మార్గమా అనిపించింది [BREATH] ఆ తరువాత ఆ cinema super hit అయ్యింది",00010000000,NULL,"It seemed so wicked and then that movie became a super hit"
16,652.601914,653.12098,1,speech,hmm,1,NULL,
