orderNo,startTime,endTime,speaker,contentType,transcript,disfluency1,disfluency2,translation
33,192.220298,200.919372,2,speech,"yeah so ఆ in fact like మీ మి వ మాట్లాడే విధానం ఏదైతే ఉందో first మాకు team అందరికి అరేయ్ US returnedఉ WE HUB లాంటి ఒక organization run చేస్తున్నారు",101111111000100011000000000,NULL,"So, whatever your way of talking, first our team is US returned, you are running an organization like WE HUB"
34,201.014646,208.768529,2,speech,"ఆ they deal with ఆ what you call entrepreneurs లేకపోతే ఆ investors గానీ ఒక kind of ఆ high professionals లాంటి వాళ్ళతో deal చేస్తున్నప్పుడు",10001111011000001001000,NULL,"They deal with entrepreneurs, investors, or a kind of high professionals. When dealing with them,"
35,208.768529,215.97384,2,speech,"ఇంత Telangana ఇంత easyగ మాట్లాడగలుగుతారా అనేది ఒక doubt వచ్చింది నాకు first of all and yeah వ you you speak very well సామెతలతో పాటు చాల బాగా మాట్లాడుతారు",10000000000000111000000011,NULL,"First of all, I had a doubt whether you could speak Telangana so easily, and you speak very well, as well as with proverbs"
36,215.97384,216.323527,1,speech,అవునా,NULL,NULL,"Is it?"
37,216.323527,216.794684,2,overlap,NULL,NULL,NULL,NULL
38,216.875664,218.992188,2,speech,"[LAUGH] so అదే raw గా ఇక్కడ కూడా మాట్లాడుదాము",10000000,NULL,"So let's talk raw here too"
39,219.047402,219.467026,1,speech,अच्छा,NULL,NULL,okay
40,219.48543,230.399335,2,speech,"now ఆ coming to the context నాకు తెలిసి this will be the ఆ what you call first too much big conversation that I am going to have అనుకుంట because nothing planned too many questions in mind",010000000000111100000100000000000000,NULL,"Now, coming to the context, I know this will be too much of a conversation at first. I am going to have a supposedly big conversation because I have not planned too many questions in my mind."
41,230.487677,230.841044,1,speech,hmm,1,NULL,
42,230.841044,235.482675,2,speech,"ఆ I I just wanted to post కొన్ని advices తీసుకుంటా కోన్ని ఆ మీ  experiences తెలుసుకుంటాను",1100000000110000,NULL,"I just wanted to post some advice and know about your experiences."
43,235.482675,235.880213,1,speech,अच्छा,NULL,NULL,Okay
44,235.898618,237.912077,2,speech,"because WE HUBలో నుంచి గానీ  లేకపోతే మీ personal experience",NULL,NULL,"Because from WE HUB, or your personal experiences"
45,237.912077,238.155017,1,overlap,NULL,NULL,NULL,NULL
46,238.155017,238.57096,2,speech,"నుంచి గానీ",NULL,NULL,"From either"
47,238.703473,238.931689,1,speech,హా,NULL,NULL,yes
48,238.939051,240.032282,2,speech,"ఆ everything in general",1000,NULL,"Everything in general"
49,240.127986,240.635952,1,speech,अच्छा,NULL,NULL,Okay
50,240.739017,245.056727,2,speech,"so first our point ఆ అంటె ఇది నా personal experienceఏ",0000110000,NULL,"So first our point, this is my personal experience"
51,245.115622,245.564693,1,speech,hmm,1,NULL,
52,245.936465,248.211269,2,speech,"ఆ being a startup co-founder or founder",1000000,NULL,"Being a startup co-founder or founder"
53,248.218631,248.546232,1,speech,hmm,1,NULL,
54,248.929047,250.390369,2,speech,"decision making ఆలోచించినప్పుడు",NULL,NULL,"When thinking about decision making"
55,250.412454,250.692204,1,speech,hmm,1,NULL,
56,250.706927,253.025902,2,speech,"నేను ఈ point ఇంకో పది మంది ఓ entrepreneurs తో కూడా మాట్లాడ",00000010000,NULL,"I also talk to ten more entrepreneurs on this point"
57,253.070073,253.401355,1,speech,hmm,1,NULL,
58,253.416079,257.708022,2,speech,"అ తరవాతే అడుగుతున్నాను first of all నేను భయపడ్డ ఇది controversial ఎల్తాద నన్నేమన్నా wrongగ తీసుకుంటారా మనోళ్ళు అని",1000000000000000,NULL,"Later, I am asking: First of all, I am afraid that if this goes controversial, will our people take me wrong?"
59,257.766917,258.098199,1,speech,hmm,1,NULL,
60,258.157094,266.759385,2,speech,"so ఆ recentగ నేను ఒకటి అబ్స్ observe చేశా అనిమాట while we are hiring generalగా ఆ startupsలో మా లాంటి startupsలో hiringలో కూడా founders involve అవుతా ఉంటారు",0100010010000010110000000,NULL,"So recently I observed one thing, while we are hiring, generally in startups like ours, founders are also involved in hiring."
61,266.81828,267.318884,1,speech,hmm,1,NULL,
62,267.598633,269.814542,2,speech,"when I was observing womenని hire చేసుకునేటప్పుడు",NULL,NULL,"When I was observing women while hiring"
63,269.880799,270.189995,1,speech,hmm,1,NULL,
64,270.2084,274.72856,2,speech,"ఆ ఒక ఒక ఒక certain age ఉంటది twenty four years నుంచి ఒక twenty eight years women ఎవరైతే ఉంటారో",101100000000000000,NULL,"Those women are at a certain age, from twenty-four years to twenty-eight years."
65,274.754327,275.074566,1,speech,hmm,1,NULL,
66,275.08929,276.270862,2,speech,"వాళ్ళని hire చేసుకునేటప్పుడు",NULL,NULL,"While hiring them"
67,276.281905,276.488036,1,speech,hmm,1,NULL,
68,276.495398,278.88431,2,speech,"ఇప్పుడు నేను చాల ఆలోచిస్తున్న దీనికో reason ఉంది",NULL,NULL,"Now there is a reason for this that I am thinking a lot"
69,279.060994,279.524789,1,overlap,NULL,NULL,NULL,NULL
70,279.532151,281.718612,2,speech,"ఆ one of our senior employees got married",10000000,NULL,"One of our senior employees got married"
71,281.814316,282.23394,1,speech,hmm,1,NULL,
72,282.244983,288.458363,2,speech,"so marriageకి ముందు ఒక two monthsఉ  marriage తరవాత ఒక three four monthsఉ disturbance వచ్చేసింది plus they will be planning for the kids.",00010000010000000000000,NULL,"So, two months before marriage and three to four months after marriage, there was a disturbance, plus they will be planning for the kids."
73,288.458363,288.857783,1,speech,"of course",NULL,NULL,"of course"
74,288.868776,294.948025,2,speech,"there are multiple things that in in fact నాకేం అనిపిస్తుంది అంటే వాళ్ళ చేతిలో లేనివి because of the traditional process that they are following",00000100000000000001000,NULL,"In fact, there are multiple things that I feel are not in their hands because of the traditional process they are following."
75,294.980939,295.439056,1,speech,hmm,1,NULL,
76,295.446384,302.984067,2,speech,"ఆ she దాన్ని stereo typical process అంటారా complete traditional process marriage అయినా తరవాత womenఏ వెళ్ళాలి relocation ఉంటదా లేదా తెలవదు first మా అందరికి question",10000000000000000000000,NULL,"Does she call it a stereotypical process or a complete traditional process of marriage? But after that, whether women should go to relocation or not is the first question for all of us."
77,303.090335,312.053472,2,speech,"husband ఎలా ఉంటారో ఇక్కడే ఉంటారా ఏ Bangalore కెళ్లిపోతారా ఇలాంటి ఒక ఆ streamlined process చూస్తున్నప్పుడు నాకు భయం start అయింది ఇప్పుడు womenని తీసుకునేటప్పుడు కొంచం అలోచించి hire చేసుకుందాం అని",00000100001000000000000000,NULL,"How will the husband stay here, or will he move to Bangalore? When I saw such a streamlined process, I started to get scared. Now let's think a little while hiring women."
78,312.086451,326.764229,2,speech,"of course it's wrong intuition that I am putting here I am not promoting anything but నా question is అంటే ఈ pointలో నేను ఆలోచించింది ఏంటంటే ఇప్పుడు తన తరవాత next next next next wicket ఎవరిది మా teamలో next ఆ women ఎవరు  marriage marriage అవ్వబోతుంది అని ఆలోచించాల్సి వచ్చింది నేను so",0000000000000000000000000000111000000100010000001,NULL,"Of course it's wrong intuition that I am putting here. I am not promoting anything but my question is that, at this point, I thought that now after her, I had to think who is the next wicket in our team, next woman who is going to get married"
79,326.791712,343.604006,2,speech,"నేను ఎందుకు ఈ point అడుగుతున్నాను అంటే ఈ point ని తీసుకొస్తున్నాను అంటే women because of their ఆ parental ఆ అంటే చిన్న చిన్నప్పటి నుంచి childhood parent hood ఆ aspect లో చూసుకుంటే కూడా అబ్బాయితో పొలిస్తేయ్ అమ్మాయికి కొంచం తక్కువ scope ఇస్తా ఉంటారు మాట్లాడానికి కానీ negotiation విషయంలో గానీ shopకి పంపించకపోవడము అట్లాంటివి ఏవైతే ఉంటాయో",000000000011000101010000010000000000000000000000,NULL,"The reason I am asking and bringing up this point is because of their parents. If you look at them from the childhood and parenthood aspects, even if you compare them to a boy, they give a little less scope to the girl to talk. But in the case of negotiations, don't send them to the shop, whatever that is."
80,343.655308,362.937411,2,speech,"దానితో పాటు even hiring aspectలో కూడా women are getting less ఆ ఆ  this thing because of అంటే వాళ్ళ చేతిలో లేని విషయం ఇది అలాంటిది is it effecting their efficiency ఎందుకంటే startupsలో పని చెయ్యాలి అని అందరికి ఉంటది MNC'sలోనే చూసుకోవాలా policies aspect లో ఆలోచిస్తే ఇట్లాంటివి అన్ని ఆలోచిస్తున్నప్పుడు I wanted to అంటే dumbగ అడిగేద్దాం ఈ పాయింట్ ఒకసారి అనుకున్నాను, what is your opinion on it?",0000010000110100000000000000000000000000000000010000000000000,NULL,"In addition to that, even in the hiring aspect, women are getting less because of something that is not in their hands, which is affecting their efficiency. Because everyone thinks that they should work in startups, should we look at MNCs? I thought about this point once, and I wanted to ask this point dumbly: What is your opinion on it?"
81,363.610096,367.613193,1,speech,"ఆ మీరన్న దాంట్లో I don't find any mistake at all",1000000000,NULL,"I don't find any mistake in that at all"
82,367.613193,368.096894,2,speech,hmm,1,NULL,
83,368.12621,371.585409,1,speech,"because ఆ మీరు founder లెక్క ఆలోచిస్తే అయినా మీకు work important",0100001000,NULL,"Because even if you think as the founder, work is important to you"
84,371.585409,372.113083,2,speech,right,NULL,NULL,Right
85,372.113083,374.385015,1,speech,"మీకు work చేసుకునేటప్పుడు మీకు work చేసేటోళ్ళు important",NULL,NULL,"When you work, who works for you is important"
86,374.385015,374.898032,2,overlap,NULL,NULL,NULL,NULL
87,374.898032,375.27913,1,speech,important,NULL,NULL,Important
88,375.27913,375.616255,2,speech,right,NULL,NULL,Right
89,375.616255,378.782302,1,speech,"అ team is a foundation in on which you are building the company కదా",10000100000000,NULL,"Team is the foundation on which you are building the company. Isn't it?"
90,378.782302,379.207373,2,speech,అవును,NULL,NULL,Yes
91,379.207373,383.780551,1,speech,"so ఇట్లాటి questions అనేవి పెద్ద విచిత్రం ఎం కాదు and ఇట్లా తప్పు ఉంది అని కూడా నేను అనను",NULL,NULL,"So, questions like these are not a massive surprise, and I don't even say that there is something wrong."
92,383.780551,384.205622,2,speech,hmm,1,NULL,
93,384.52809,388.793459,1,speech,"ఇక నేను అందరి గురించి నేను మాట్లాడలేను ఎందుకంటే I don't know everybody's life",110000000000,NULL,"I can't talk about everyone because I don't know everyone's life"
94,388.91072,389.306475,2,speech,perfect,NULL,NULL,Perfect
95,389.306475,391.62238,1,speech,"but నాకు personalగ I'll just talk about my~",00000001,NULL,"But for me personally, I'll just talk about"
96,391.62238,392.032793,2,overlap,NULL,NULL,NULL,NULL
97,392.032793,396.373282,1,speech,"right ఎందుకంటే I think I can I can ఆ make some statements as a women",000011001000000,NULL,"Right? Because I think I can make some statements as a women"
98,396.373282,397.280222,2,overlap,NULL,NULL,NULL,NULL
99,397.338853,405.195339,1,speech,"so ఇప్పుడు మీరన్న points అన్నీ కూడా చాలా valid ఎ మీరు అన్న వాటన్నిటికీ  womenఏ చెయ్యాలి ఇదే చెయ్యాలి అంటే if you have conviction in your self",0000000010000001100000000,NULL,"So now all your points are also very valid. For all that you said, women should do that only if you have conviction in yourself."
100,405.195339,405.781644,2,speech,hmm,1,NULL,
101,405.781644,407.511243,1,speech,"I think ఆ women or man doesn't matter",00100000,NULL,"I think a woman or a man doesn't matter."
102,407.511243,408.009603,2,speech,hmm,1,NULL,
103,408.038918,419.45407,1,speech,"A marriage ఇప్పుడు మీరు అన్న questionకి marriage అయితే ఇట్లైతది అట్లైతది అంటే ఆ marriage is not suppose to kind of like ఆ ఆ make one person better than the other a marriage is there to create two incredible individual",11000000000100000111110000000000000000,NULL,"The question you are asking now is whether the marriage will be like this or that. A marriage is not supposed to make one person better than the other; a marriage is there to create two incredible individuals."
104,419.45407,419.940908,2,speech,hmm,1,NULL,
105,420.043511,428.383699,1,speech,"so I think ఆ foundation ఉంటేగేనా it is ok to hire any body ఇప్పుడు మీరన్న అన్ని questionsకి కూడా answer ఏంటి అంటే it's very dependent on the individual",000100000000000000010000000,NULL,"So, I think even if there is a foundation, it is ok to hire anybody now. The answer to all of your questions is that it's very dependent on the individual"
106,428.618221,429.175211,2,speech,right,NULL,NULL,Right
107,429.204526,434.364009,1,speech,"see if a girls feelsకి you know I can be here and I'll I can execute she will stick with it",100001100000111000000,NULL,"If a girl feels, "I can be here and execute", she will stick with it."
108,434.416104,434.616823,2,overlap,NULL,NULL,NULL,NULL
109,434.616823,436.738544,1,speech,"consistentగ లేనిది మనకి opportunities రావు",NULL,NULL,"If we are not consistent, we will not get opportunities"
110,436.738544,437.368822,2,speech,"make sense",NULL,NULL,"Make sense"
111,437.398137,442.425702,1,speech,"and opportunity వచ్చినది కదా అనీ loose చేసుకుంటే ఎమయితది అంటే మీరు అన్న దానిలో నాకు ఒక point చానా strike అయింది",000000000000000100,NULL,"And if the opportunity comes, if you lose it, it means you are a point-striker for me"
112,442.455017,442.887417,2,speech,hmm,1,NULL,
113,442.938719,446.031478,1,speech,"ఏంటంటే ఇప్పుడు మీరు ఒకల్ని hire చేసుకున్నారు she is a senior employee right",NULL,NULL,"So, now you have hired one. She is a senior employee, right?"
114,446.031478,446.478535,2,overlap,NULL,NULL,NULL,NULL
115,446.478535,447.665803,1,speech,"she has really put in the work",NULL,NULL,"She has really put in the work."
116,447.775735,448.171491,2,speech,"of course",NULL,NULL,"Of course"
117,448.171491,450.38905,1,speech,"she is amazing right she has been amazing",NULL,NULL,"She is amazing, right? She has been amazing."
1,450.646714,456.885448,1,speech,"Like challenge ఏమైంది అంటే ఆమె ఆమె కొచ్చిన situation తోని it is impacted the next person",100010000000000,NULL,"The challenge was with the situation she came with, it is impacted the next person"
2,457.185929,457.574356,2,speech,true,NULL,NULL,True
3,457.589014,462.601921,1,speech,"So అందుకని every women కూడా I feel it is is ఆ because you are having a conversation on it",0100000010100000,NULL,"So every women too. I feel it, because you are having a conversation on it."
4,462.623907,463.078293,2,speech,hmm,1,NULL,
5,463.15891,471.418481,1,speech,"every women as an employee as a leader entrepreneur whatever we have a double responsibility to make sure that we are actually trailblazing with the people who will follow us",000000000000100000000000000000,NULL,"Every woman as an employee, as a leader, an entrepreneur or whatever, we have double responsibility to make sure that we are actually trailblazing with the people who will follow us."
6,471.5504,472.913235,2,speech,"అ can you come again some",100001,NULL,"Can you come again"
7,472.913235,473.206711,1,overlap,NULL,NULL,NULL,NULL
8,473.206711,476.541321,1,speech,"mean is మనం చేసే పనికి impact మన మెదనే కాదు",110000000,NULL,"The impact of what we do is not only on us"
9,476.592622,477.193585,2,speech,hmm,1,NULL,
10,477.274202,479.471929,1,speech,"Aspire చేసే ప్రతి girl మీద ఉంటది కాబట్~",0000001,NULL,"It is on every girl who aspires"
11,479.471929,479.839286,2,overlap,NULL,NULL,NULL,NULL
12,479.839286,481.173129,1,speech,"కి double responsibility ఉంటది",1000,NULL,"Double responsibility will be"
13,481.173129,481.627516,2,speech,"right right",10,NULL,Right
14,481.627516,485.401854,1,speech,"and we have a bigger challenge to make sure that you know we can step up to the task",NULL,NULL,"And we have a bigger challenge to make sure that you know we can step up to the task"
15,485.431169,485.85624,2,speech,ఔను,NULL,NULL,Yes
16,485.870898,490.869147,1,speech,"so మీరు అన్నదానికి తిప్పి కొట్టే answers simply ఏంటంటే మీ apprehension అయితే wrong కాదు",NULL,NULL,"So the answers you say are simply your apprehension, but it is not wrong."
17,490.869147,491.28689,2,speech,hmm,1,NULL,
18,491.323534,494.577526,1,speech,"ఇగా WE HUBలో కూడా మా దగ్గర చాలా మంది women ఉన్నారు",NULL,NULL,"Now we have many women in WE HUB as well"
19,494.599512,494.980611,2,speech,hmm,1,NULL,
20,494.980611,497.953797,1,speech,"but ఎప్పుడూ కూడా ఇప్పటి దాక ఎప్ ఇప్పుడు now we are actually gender blind",0100011100000,NULL,"But even now we are actually gender blind"
21,498.08631,498.424954,2,overlap,NULL,NULL,NULL,NULL
22,498.424954,501.421217,1,speech,"both men and women in WE HUB but it took us a lot of time",NULL,NULL,"Men and women, both are in WE HUB but it took us a lot of time."
23,501.962988,502.451872,2,speech,hmm,1,NULL,
24,502.451872,503.136522,1,speech,"because we had law",NULL,NULL,"Because we had law."
25,503.136522,503.732829,2,overlap,NULL,NULL,NULL,NULL
26,503.732829,504.255519,2,speech,"team కదా",NULL,NULL,"Is it a team?"
27,504.29969,504.549992,1,speech,team,NULL,NULL,Team
28,504.549992,504.689867,2,overlap,NULL,NULL,NULL,NULL
29,504.689867,506.103337,1,speech,"We Hub చానా time పట్టింది",11000,NULL,"WE HUB took long time"
30,506.103337,506.419895,2,speech,hmm,1,NULL,
31,506.464066,513.847976,1,speech,"but now I feel that personal opinion unless women step up and do the work these apprehension on bond",NULL,NULL,"But now I feel that personal opinion unless women step up and do the work. These apprehensions on bond."
32,513.847976,514.554711,2,overlap,NULL,NULL,NULL,NULL
33,514.554711,516.674917,1,speech,"and nobody else can fix it except for ourselves",NULL,NULL,"And nobody else can fix it, except for ourselves"
34,516.733811,517.414912,2,overlap,NULL,NULL,NULL,NULL
35,517.639316,518.537458,2,speech,"అర్ధమైంది [BREATH]",01,NULL,Understood
36,546.041234,551.187149,2,speech,"and one thing ఆ మేము observe చేసింది ఏంటంటే మీ దాంట్లో kids play area ఉ kids",000100001100011,NULL,"And one thing we observed is that kids play area."
37,551.187149,551.459536,1,overlap,NULL,NULL,NULL,NULL
38,551.488984,552.180995,2,speech,"area ఉంది కదా",NULL,NULL,"Is there an area?"
39,552.180995,552.453383,1,overlap,NULL,NULL,NULL,NULL
40,552.475468,556.163791,2,speech,"who were is coming to pitch their idea or work with WE HUB along with WE HUB",00100000001110000,NULL,"Who were coming to pitch their idea or working along with WE HUB"
41,556.244722,556.553919,1,speech,Yeah,NULL,NULL,Yeah
42,556.568643,559.58331,2,speech,"ఆ వాళ్ళకి అలాంటి ఒక opportunity libraries లాంటివి పెట్టడం",10000000,NULL,"Providing them with such an opportunity libraries"
43,559.58331,559.745319,1,overlap,NULL,NULL,NULL,NULL
44,559.745319,566.018782,1,speech,"గ్గర mother's room ఉన్నాది ఇప్పుడు చానా ఇప్పుడు మనకి చానా hot topics ఉన్నాయి మనకి maternity leaves అ ఓ ఇస్తారు",000011000000000110,NULL,"There are mother's room, now there are a lot of hot topics, we will give maternity leaves"
45,566.018782,566.08012,2,overlap,NULL,NULL,NULL,NULL
46,566.08012,566.455573,2,speech,hmm,1,NULL,
47,566.639618,572.227243,1,speech,"ఇప్పుడు now అదీ చే అదీ ఇంకొక దాంట్లో ఒక beautiful thing that's happening ఏంటంటే it is for both parents now",1011100000000000001,NULL,"Now another beautiful thing that is happening. It is for both parents."
48,572.367118,573.857887,2,speech,"అవును maternal కూడా ఉంది కదా yeah",NULL,NULL,"Yes, there is also maternal, isn't it?"
49,573.913101,575.12044,1,speech,"It హా It is mandatory but",110000,NULL,"It is mandatory but"
50,575.12044,575.473807,2,overlap,NULL,NULL,NULL,NULL
51,575.473807,575.648841,1,speech,"It ఇ~",01,NULL,It
52,575.648841,575.816132,2,overlap,NULL,NULL,NULL,NULL
53,575.816132,576.357226,1,speech,"Hidden also",NULL,NULL,"Hidden also"
54,576.449249,576.703232,2,overlap,NULL,NULL,NULL,NULL
55,576.703232,578.304429,1,speech,"why should we have a",NULL,NULL,"Why should we have a"
56,578.304429,579.312999,2,overlap,NULL,NULL,NULL,NULL
57,579.312999,580.063905,1,speech,"both of you are there",NULL,NULL,"Both of you are there"
58,580.063905,580.781683,2,speech,"definitely yeah",01,NULL,Definitely
59,580.796406,582.798823,1,speech,"so ఆ అది మంచి change ఒచ్చింది",010000,NULL,"So that was a good change."
60,582.835632,583.056486,2,overlap,NULL,NULL,NULL,NULL
61,583.063848,587.480943,1,speech,"ఇప్పుడు మనకి ఏమైతుంది అంటే మనకి కొత్త కొత్త leaves వస్తున్నాయి so ఆ leaves menstrual leaves అని ఒకటి",0000010000000000,NULL,"Now what happens to us is that we get new leaves, so those leaves are called menstrual leaves."
62,587.480943,587.933695,2,overlap,NULL,NULL,NULL,NULL
63,587.933695,596.609605,1,speech,"ఇవన్నీ మళ్ళా ఒస్తున్నాయి దీని వళ్ళ పెద్ద challenge ఏం personal opinion నేనేం feel అయితున్న  అంటే ఇట్లాంటి ఎక్కువ leaveలు తీసుకుంటే people will be like accha ఈమె నెలకి నాలుగు అయిదు రోజులు రాదు",NULL,NULL,"All this is happening again. What is their biggest challenge? My personal opinion is, I feel that if more leaves are taken like this, people will be like, Ok, she does not come for four or five days in a month."
64,596.694266,597.367873,2,speech,exactly,NULL,NULL,Exactly
65,597.367873,598.104055,2,overlap,NULL,NULL,NULL,NULL
66,598.115098,599.594825,1,speech,"we are actually putting the women back",NULL,NULL,"We are actually putting the women back"
67,599.650039,600.054939,2,overlap,NULL,NULL,NULL,NULL
68,600.054939,603.706404,1,speech,"బదులు I think women as women we should demand more inclusive work spaces",0001000000000,NULL,"Instead of, I think as women, we should demand more inclusive work spaces."
69,604.887977,605.62784,2,overlap,NULL,NULL,NULL,NULL
70,605.62784,606.378746,2,speech,"Plot కొచ్చాము ఇప్పుడు మనము",NULL,NULL,"Now we have come to the plot."
71,606.378746,607.059715,1,overlap,NULL,NULL,NULL,NULL
72,607.059715,608.664592,1,speech,"Need more inclusive work spaces not",000001,NULL,"Need more inclusive work spaces"
73,608.664592,609.076855,2,overlap,NULL,NULL,NULL,NULL
74,609.076855,609.50384,1,speech,"It is",NULL,NULL,"It is"
75,609.603225,610.343088,2,speech,hmm,1,NULL,
76,610.755351,616.753397,1,speech,"ఇప్పుడు మనకి holiday ఎక్కువ holidays తీసుకునే opportunity ఉంటె we are lessening opportunity for ourselves అథ మె ఆ",001000000000001111,NULL,"Now, if we have the opportunity to take more holidays, we are lessening the opportunity for ourselves."
77,616.753397,616.865665,2,overlap,NULL,NULL,NULL,NULL
78,616.865665,620.417745,2,speech,"ఈ inclusive work spaces అన్నారు కదా దాని examples ఎమన్నా can you please elaborate",1000000000000,NULL,"Can you please elaborate on the examples of inclusive work spaces?"
79,620.609152,624.275341,1,speech,"inclusive work spaces అంటే చెప్తాను ఒకటి WE HUBలో we have a mothers room we have a",NULL,NULL,"One of the inclusive work spaces is in WE HUB, we have a mother's room, we have a"
80,624.275341,624.566133,2,overlap,NULL,NULL,NULL,NULL
81,624.577176,626.995535,1,speech,"Play area but I can't say we are in the most inclusive work space",NULL,NULL,"Play area but I can't say we are in the most inclusive work space"
82,626.995535,627.562395,2,overlap,NULL,NULL,NULL,NULL
83,627.610247,638.365873,1,speech,"but there is also areas where you can go rest there is a lot of other spaces more importantly ఆ one of the most amazing things that i have seen is Beiersdorf which is the company which makes Nivea",000000000000000000010000000000000000110,NULL,"but there is also areas where you can go rest there is a lot of other spaces more importantly one of the most amazing things that I have seen is Beiersdorf which is the company Nivea"
84,638.575685,639.370762,2,speech,"Okay ah",01,NULL,Okay
85,639.440699,640.920426,1,speech,"వాళ్ళదీ unit ఉంది",NULL,NULL,"They also have a unit"
86,641.008768,641.465201,2,speech,hmm,1,NULL,
87,641.531457,645.101942,1,speech,"ఆ hmm నేను actually I had visited the unit some time ago",111000000000,NULL,"Actually I had visited the unit some time ago"
88,645.249178,645.565737,2,speech,okay,NULL,NULL,Okay
89,645.565737,645.793953,1,overlap,NULL,NULL,NULL,NULL
90,645.793953,648.620894,1,speech,"The most unique things is they have about twenty five hundred employees there",NULL,NULL,"The most unique thing is they have about twenty five hundred employees there"
91,648.672427,649.121498,2,speech,hmm,1,NULL,
92,649.143583,650.406237,1,speech,"factoryల every",NULL,NULL,"Every factory"
93,650.406307,650.715333,2,overlap,NULL,NULL,NULL,NULL
94,650.715333,651.5509,1,speech,"all is gender neutral",NULL,NULL,"All is gender neutral"
95,651.797521,652.305487,2,speech,wow,NULL,NULL,Wow
96,652.530023,653.732748,1,speech,"So that is what I mean by inclu~",00000001,NULL,"So that is what I mean by"
97,653.732748,654.528758,2,overlap,NULL,NULL,NULL,NULL
98,654.532439,657.315208,1,speech,"You cannot say it this job is for women and this job is for a men",0001000000000010,NULL,"You cannot say this job is for women and this job is for men"
99,657.337294,657.915197,2,speech,hmm,1,NULL,
100,657.918878,659.921294,1,speech,"Obviously there are certain physical limitations",NULL,NULL,"Obviously there are certain physical limitations"
101,659.928656,660.315152,2,speech,ah,1,NULL,
102,660.418217,663.558035,1,speech,"and that also has to be a choice right if the ladies willing to do it why not",NULL,NULL,"and that also has to be a choice, right? If the ladies are willing to do it, why not?"
103,663.561716,664.146981,2,speech,"Of course",NULL,NULL,"Of course"
104,664.161705,665.508919,1,speech,"so that's what I mean by gendering",NULL,NULL,"so that's what I mean by gendering."
105,665.508919,666.090503,2,overlap,NULL,NULL,NULL,NULL
